Region,Language Name (Native),[EN] Name,Code,Native Speakers (M),Status,Sample Text,Script
Indic,असमীয়া,Assamese,as,15,Coming Soon,সকলো শূন্যৰ পৰা আৰম্ভ হয়,Bengali
Indic,अवधी,Awadhi,awa,38,Available,सब कुछ शून्य से शुरू होता है,Devanagari
Indic,বাংলা (India),Bengali (India),bn-IN,98,Available,সবকিছু শূন্য থেকে শুরু হয়,Bengali
Indic,भोजपुरी,Bhojpuri,bho,52,Available,सब कुछ शून्य से शुरू होला,Devanagari
Indic,बोडो,Bodo,brx,1.4,Available,गाब सोमोन्दों गाहाय गोनांथाय,Devanagari
Indic,छत्तीसगढ़ी,Chhattisgarhi,hne,18,Available,जम्मो चीज हा सुन्ना ले सुरु होथे,Devanagari
Indic,डोगरी,Dogri,doi,2.3,Available,सब कुछ शून्य थमां शुरू होंदा,Devanagari
Indic,गारो,Garo,grt,1.2,Available,Sobokchi shunya ni shuru hoba,Latin
Indic,गोंडी,Gondi,gon,3,Available,लगा वस्तु शून्य ले शुरू होता,Devanagari
Indic,ગુજરાતી,Gujarati,gu,56,Coming Soon,બધું શૂન્યથી શરૂ થાય છે,Gujarati
Indic,हरियाणवी,Haryanvi,bgc,10,Available,सब कुछ जिओ तै शुरू हो सै,Devanagari
Indic,हिन्दी,Hindi,hi,600,Available,सब कुछ शून्य से शुरू होता है,Devanagari
Indic,हो,Ho,hoc,1.1,Available,Sabkuch shunya te shuru hovea,Latin
Indic,ಕನ್ನಡ,Kannada,kn,44,Available,ಎಲ್ಲವೂ ಶೂನ್ಯದಿಂದ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,Kannada
Indic,कश्मीरी,Kashmiri,ks,7,Available,सब कुछ शून्य पेठ शुरू गछि,Devanagari
Indic,খাসি,Khasi,kha,1.4,Available,Bari lajong shunya jinge shuru nanga,Latin
Indic,खोंड,Khond,kxv,1.8,Available,सबकुछ शून्य ले शुरू होता,Devanagari
Indic,कोंकणी,Konkani,kok,2.3,Available,सगळें शून्यांतल्यान सुरू जाता,Devanagari
Indic,मगही,Magahi,mag,21,Available,सब कुछ शून्य से शुरू होवे,Devanagari
Indic,मैथिली,Maithili,mai,34,Available,सब किछु शून्य सं शुरू होइत अछि,Devanagari
Indic,മലയാളം,Malayalam,ml,35,Coming Soon,എല്ലാം പൂജ്യത്തിൽ നിന്നും ആരംഭിക്കുന്നു,Malayalam
Indic,মণিপুরী,Manipuri,mni,1.8,Coming Soon,পুম্নমক শূন্য দগী হৌরকই,Bengali
Indic,मराठी,Marathi,mr,83,Available,सर्वकाही शून्यापासून सुरू होते,Devanagari
Indic,मारवाड़ी,Marwari,mwr,22,Available,सगळी बातां सुन्न सूं सरू व्है,Devanagari
Indic,मिजो,Mizo,lus,1.1,Available,engkim chu zero atanga tan a ni,Latin
Indic,मुंडारी,Mundari,unr,1.2,Available,सबकुछ शून्य ले शुरू होता,Devanagari
Indic,नेपाली (Nepal),Nepali,ne,16,Available,सबै कुरा शून्यबाट सुरु हुन्छ,Devanagari
Indic,ଓଡ଼ିଆ,Odia,or,38,Coming Soon,ସବୁକିଛି ଶୂନ୍ୟରୁ ଆରମ୍ଭ ହୁଏ,Odia
Indic,ਪੰਜਾਬੀ,Punjabi,pa,113,Coming Soon,ਸਭ ਕੁਝ ਜ਼ੀਰੋ ਤੋਂ ਸ਼ੁਰੂ ਹੁੰਦਾ ਹੈ,Gurmukhi
Indic,राजस्थानी,Rajasthani,raj,26,Available,सब कुछ शून्य सूं शुरू होवे,Devanagari
Indic,संताली,Santali,sat,7.6,Available,सबकुछ शून्य ले शुरू होता,Devanagari
Indic,सिन्धी,Sindhi,sd,25,Available,سڀ ڪجهه صفر کان شروع ٿئي ٿو,Arabic
Indic,தமிழ்,Tamil,ta,75,Available,அனைத்தும் பூஜ்ஜியத்திலிருந்து தொடங்குகிறது,Tamil
Indic,తెలుగు,Telugu,te,82,Coming Soon,అన్నీ సున్నా నుండి మొదలవుతాయి,Telugu
Indic,ತुळು,Tulu,tcy,2,Available,ಎಲ್ಲಾವೂ ಸೊನ್ನೆದ್ದ್ ಶುರುವಾವುಂಡು,Kannada
Indic,اردو,Urdu,ur,70,Available,سب کچھ صفر سے شروع ہوتا ہے,Arabic
Indic,बघेली,Bagheli,bfy,8,Available,सब कुछ शून्य से शुरू होत है,Devanagari
Indic,ਭਾਸ਼ਾ (Malvi),Malvi,mup,5.2,Available,सब कुछ सिफर से शुरू होवे है,Gurmukhi
European,English (Global),English,en,1530,Available,Everything starts from Zero,Latin
European,English UK,English UK,en-GB,60,Available,Everything starts from Zero,Latin
European,English US,English US,en-US,230,Available,Everything starts from Zero,Latin
European,English India,English India,en-IN,125,Available,Everything starts from Zero,Latin
European,English Australia,English Australia,en-AU,17,Available,Everything starts from Zero,Latin
European,English Canada,English Canada,en-CA,20,Available,Everything starts from Zero,Latin
European,English South Africa,English South Africa,en-ZA,4.9,Available,Everything starts from Zero,Latin
European,English New Zealand,English New Zealand,en-NZ,3.8,Available,Everything starts from Zero,Latin
European,English Ireland,English Ireland,en-IE,4.2,Available,Everything starts from Zero,Latin
European,Français (Global),French,fr,312,Available,Tout commence à partir de zéro,Latin
European,Français (France),French (France),fr-FR,67,Available,Tout commence à partir de zéro,Latin
European,Français (Canada),French (Canada),fr-CA,7.2,Available,Tout commence à partir de zéro,Latin
European,Français (Belgium),French (Belgium),fr-BE,4.2,Available,Tout commence à partir de zéro,Latin
European,Français (Switzerland),French (Switzerland),fr-CH,2,Available,Tout commence à partir de zéro,Latin
European,Français (Africa),French (Africa),fr-AF,120,Available,Tout commence à partir de zéro,Latin
European,Deutsch,German,de,95,Available,Alles beginnt bei Null,Latin
European,Italiano,Italian,it,65,Available,Tutto inizia da zero,Latin
European,Español (Global),Spanish,es,558,Available,Todo comienza desde cero,Latin
European,Español (Spain),Spanish (Spain),es-ES,47,Available,Todo comienza desde cero,Latin
European,Português (Global),Portuguese,pt,267,Available,Tudo começa do zero,Latin
European,Português (Brazilian),Portuguese (Brazil),pt-BR,215,Available,Tudo começa do zero,Latin
European,Português (European),Portuguese (Europe),pt-PT,10,Available,Tudo começa do zero,Latin
European,Português (African),Portuguese (Africa),pt-AF,35,Available,Tudo começa do zero,Latin
European,Русский,Russian,ru,150,Available,Всё начинается с нуля,Cyrillic
European,Polski,Polish,pl,40,Available,Wszystko zaczyna się od zera,Latin
European,Nederlands,Dutch,nl,24,Available,Alles begint bij nul,Latin
European,Svenska,Swedish,sv,10,Available,Allt börjar från noll,Latin
European,Norsk (Bokmål),Norwegian (Bokmål),no,4.5,Available,Alt starter fra null,Latin
European,Dansk,Danish,da,6,Available,Alt starter fra nul,Latin
European,Suomi,Finnish,fi,5.4,Available,Kaikki alkaa nollasta,Latin
European,Magyar,Hungarian,hu,13,Available,Minden nulláról kezdődik,Latin
European,Čeština,Czech,cs,10.7,Available,Vše začína od nuly,Latin
European,Slovenčina,Slovak,sk,5.2,Available,Všetko sa začína od nuly,Latin
European,Slovenščina,Slovenian,sl,2.5,Available,Vse se začne z nič,Latin
European,Hrvatski,Croatian,hr,5,Available,Sve počinje od nule,Latin
European,Srpski,Serbian,sr,9,Available,Све почиње од нуле,Cyrillic
European,Български,Bulgarian,bg,8,Available,Всичко започва от нула,Cyrillic
European,Română,Romanian,ro,24,Available,Totul începe de la zero,Latin
European,Ελληνικά,Greek,el,13.5,Available,Όλα ξεκινούν από το μηδέν,Greek
European,Lietuvių,Lithuanian,lt,3,Available,Viskas prasideda nuo nulio,Latin
European,Latviešu,Latvian,lv,1.9,Available,Viss sākas no nulles,Latin
European,Eesti,Estonian,et,1.1,Available,Kõik algab nullist,Latin
European,Albanian,Albanian,sq,7.6,Available,Gjithçka fillon nga zero,Latin
European,Македонски,Macedonian,mk,2.1,Available,Сè почнува од нула,Cyrillic
European,Беларуская,Belarusian,be,5.1,Available,Усё пачынаецца з нуля,Cyrillic
European,Українська,Ukrainian,uk,40,Available,Все начинається з нуля,Cyrillic
European,Moldovenească,Moldovan,mo,2.6,Available,Totul începe de la zero,Latin
European,Català,Catalan,ca,10,Available,Tot comença des de zero,Latin
European,Euskera,Basque,eu,1.2,Available,Dena zerotik hasten da,Latin
European,Galego,Galician,gl,2.4,Available,Todo comeza desde cero,Latin
European,Cymraeg,Welsh,cy,0.9,Available,Mae popeth yn dechrau o sero,Latin
European,Gaeilge,Irish,ga,1.7,Available,Tosaíonn gach rud ó náid,Latin
European,Occitan,Occitan,oc,0.8,Available,Tot comença de zèro,Latin
European,Sardinian,Sardinian,sc,1.35,Available,Totu cumintzat dae tzeru,Latin
European,Plattdüütsch (Low German),Low German,nds,5,Available,Allens fangt bi Null an,Latin
European,Boarisch (Bavarian),Bavarian,bar,14,Available,Ois fongt bei Nui o,Latin
European,Siçilianu (Sicilian),Sicilian,scn,5,Available,Tuttu accuminza di zeru,Latin
European,Napulitano (Neapolitan),Neapolitan,nap,5.7,Available,Tutte cose accummincia a zzero,Latin
Asian,中文 (Global),Chinese (Global),zh,1184,Available,一切从零开始,Chinese
Asian,中文 (Mandarin),Chinese (Mandarin),zh-CN,918,Available,一切从零开始,Chinese
Asian,中文 (Cantonese),Chinese (Cantonese),zh-HK,84,Available,一切從零開始,Chinese
Asian,中文 (Wu),Chinese (Wu),wuu,81,Available,一切从零开始,Chinese
Asian,中文 (Min),Chinese (Min),nan,70,Available,一切從零開始,Chinese
Asian,中文 (Hakka),Chinese (Hakka),hak,48,Available,一切從零開始,Chinese
Asian,日本語,Japanese,ja,125,Available,すべてはゼロから始まる,Japanese
Asian,한국어,Korean,ko,82,Available,모든 것은 제로부터 시작한다,Korean
Asian,Tiếng Việt,Vietnamese,vi,85,Available,Mọi thứ đều bắt đầu từ số không,Latin
Asian,ไทย,Thai,th,71,Available,ทุกอย่างเริ่มต้นจากศูนย์,Thai
Asian,Bahasa Indonesia,Indonesian,id,199,Available,Semua dimulai dari nol,Latin
Asian,Bahasa Melayu,Malay,ms,19,Available,Segala-galanya bermula dari sifar,Latin
Asian,Tagalog,Tagalog,tl,28,Available,Lahat ay nagsisimula sa zero,Latin
Asian,Cebuano,Cebuano,ceb,22,Available,Ang tanan nagsugod sa zero,Latin
Asian,Hiligaynon,Hiligaynon,hil,9,Available,Ang tanan nagasugod sa zero,Latin
Asian,Waray,Waray,war,3.1,Available,An ngatanan nagsusugod ha zero,Latin
Asian,Bikol,Bikol,bcl,2.5,Available,Gabos nagsisimula sa zero,Latin
Asian,Pangasinan,Pangasinan,pag,1.2,Available,Amin agumpisa ed zero,Latin
Asian,Kapampangan,Kapampangan,pam,2.9,Available,Ngan umpisa king zero,Latin
Asian,Ilocano,Ilocano,ilo,9.1,Available,Amin mangrugi iti zero,Latin
Asian,Javanese,Javanese,jv,69,Available,Kabeh wiwit saka nol,Latin
Asian,ລາວ,Lao,lo,7,Coming Soon,ທຸກຢ່າງເລີ່ມຕົ້ນຈາກສູນ,Lao
Asian,ខ្មែរ,Khmer,km,16,Coming Soon,អ្វីៗទាំងអស់ចាប់ផ្តើមពីសូន្យ,Khmer
Asian,မြန်မာ,Burmese,my,37,Coming Soon,အားလုံးသည် သုညမှ စတင်သည်,Myanmar
Asian,မန်,Mon,mnw,1.1,Coming Soon,အားလုံးသည် သုညမှ စတင်သည်,Mon
Asian,ရှမ်း,Shan,shn,5.2,Coming Soon,တူမွေးလူး သုညမွေ တွင်ယူ,Myanmar
Asian,བོད་སྐད,Tibetan,bo,1.2,Coming Soon,ཐམས་ཅད་ཀླད་ཀོར་ནས་འགོ་བཙུགས་པ་རེད།,Tibetan
Asian,Монгол,Mongolian,mn,5.7,Available,Бүх зүйл тэгээс эхэлдэг,Cyrillic
Asian,Hmong,Hmong,hmn,4.2,Available,Txhua yam pib los ntawm xoom,Latin
Asian,Mien,Mien,ium,2.7,Available,Buangh nyei biauv ndorm nyungc,Latin
Asian,Tok Pisin,Tok Pisin,tpi,5.4,Available,Olgeta samting i stat long sero,Latin
Asian,සිංහල,Sinhala,si,17,Coming Soon,සියල්ල ශුන්‍යයෙන් ආරම්භ වේ,Sinhala
Asian,Nepali (Nepal),Nepali,ne,16,Available,सबै कुरा शून्यबाट सुरु हुन्छ,Devanagari
Asian,Dzongkha,Dzongkha,dz,1.7,Coming Soon,ཐམས་ཅད་ཀླད་ཀོར་ནས་འགོ་བཙུགས།,Tibetan
Asian,Fijian,Fijian,fj,1.4,Available,Na kece kila mai na saiva,Latin
Asian,Tetum,Tetum,tet,1.2,Available,Buat hotu hahuu husi zero,Latin
Asian,Basa Sunda (Sundanese),Sundanese,su,42,Available,Sagalana dimimitian ti enol,Latin
Asian,Madurese,Madurese,mad,13,Available,Sadajana emmolai dhari nòl,Latin
Asian,贛語,Gan Chinese,gan,22,Available,一切从零开始,Chinese
Asian,湘语,Xiang Chinese,hsn,38,Available,一切从零开始,Chinese
Asian,Buginese,Buginese,bug,5,Available,Sininna na pu'adai ri olo,Lontara
Asian,Acehnese,Acehnese,ace,3.5,Available,Bandum geutanyoe meuphom dari nol,Latin
African,Kiswahili,Swahili,sw,16,Available,Kila kitu huanza kutoka sifuri,Latin
African,Amharic,Amharic,am,57,Coming Soon,ሁሉም ነገር ከዜሮ ይጀምራል,Ethiopic
African,Oromo,Oromo,om,37,Available,Wanti hundi zeeroo irraa eegala,Latin
African,Tigrinya,Tigrinya,ti,7,Coming Soon,ኩሉ ነገር ካብ ዜሮ ይጅምር,Ethiopic
African,Somali,Somali,so,21.8,Available,Wax waliba waxay ka bilaabmaan eber,Latin
African,Hausa,Hausa,ha,70,Available,Komai yana farawa daga sifili,Latin
African,Yoruba,Yoruba,yo,45,Available,Ohun gbogbo bẹrẹ lati odo,Latin
African,Igbo,Igbo,ig,27,Available,Ihe niile na-amalite site na efu,Latin
African,Fulani,Fulani,ff,40,Available,Fof kala fuɗɗii e nder kala,Latin
African,Akan,Akan,ak,11,Available,Biribiara fi nkwa mu fi ase,Latin
African,Twi,Twi,tw,17,Available,Biribiara fi nkwa mu fi ase,Latin
African,Ewe,Ewe,ee,6.8,Available,Nu sia nu katã dzea egome tso ɖiɖi me,Latin
African,Ga,Ga,gaa,3.2,Available,Nuu kpakpa kɛ ni otu lɛ kɛkɛ,Latin
African,Wolof,Wolof,wo,12,Available,Lép nekk dafay jëkk ci tundu,Latin
African,Mandinka,Mandinka,mnk,2.4,Available,Feŋo bee ka daminandi ka bo konkoo la,Latin
African,Bambara,Bambara,bm,14,Available,Fɛn bɛɛ bɛ daminɛ ka bɔ foyi la,Latin
African,Lingala,Lingala,ln,15,Available,Biloko nyonso ebandaka na zéro,Latin
African,Kikongo,Kikongo,kg,10,Available,Mambu monso mabandaka na zéro,Latin
African,Kinyarwanda,Kinyarwanda,rw,12,Available,Ibintu byose bitangira kuri zeru,Latin
African,Kirundi,Kirundi,rn,13,Available,Ibintu vyose vitangura kuri zeru,Latin
African,Luganda,Luganda,lg,5.6,Available,Buli kintu kitandikira ku zeru,Latin
African,Luo,Luo,luo,5.3,Available,Gik moko duto chakore gi onge,Latin
African,Kikuyu,Kikuyu,ki,8.1,Available,Maũndũ mothe maambĩrĩria na kĩhũũ,Latin
African,Shona,Shona,sn,14.2,Available,Chinhu chose chinotanga pazero,Latin
African,Ndebele,Ndebele,nd,2.1,Available,Konke kuqala ngezero,Latin
African,Zulu,Zulu,zu,12,Available,Konke kuqala nge-zero,Latin
African,Xhosa,Xhosa,xh,8.2,Available,Yonke into iqala nge-zero,Latin
African,Afrikaans,Afrikaans,af,7,Available,Alles begin by nul,Latin
African,Sesotho,Sesotho,st,5.6,Available,Tsohle di qala ho tloha lefelleng,Latin
African,Setswana,Tswana,tn,4.1,Available,Tsotlhe di simolola ka lefela,Latin
African,isiSwati,Swati,ss,2.3,Available,Konkhe kucala nge-zero,Latin
African,Venda,Venda,ve,1.2,Available,Zwothe zwi thoma nga zero,Latin
African,Tsonga,Tsonga,ts,4.4,Available,Hinkwaswo swi sungula eka zero,Latin
African,Arabic (Maghrebi),Arabic (Maghrebi),ar-MA,75,Available,كل شيء يبدأ من الصفر,Arabic
African,Arabic (Chadian),Arabic (Chadian),ar-TD,1.8,Available,كل شيء يبدأ من الصفر,Arabic
African,Berber (Tamazight),Berber (Tamazight),ber,30,Available,Kullu shi ibda min sifr,Latin
African,Malagasy,Malagasy,mg,18,Available,Ny zavatra rehetra dia manomboka amin'ny aotra,Latin
African,Chichewa (Nyanja),Chichewa,ny,12,Available,Chilichonse chimayambira pa ziro,Latin
African,Mossi,Mossi,mos,7.6,Available,Fãa fãa sɩngr ne a zeero,Latin
African,Bemba,Bemba,bem,4.1,Available,Fyonse fitendekela kuli zero,Latin
African,Kamba,Kamba,kam,4.3,Available,Syonthe syambiiia na nthini,Latin
African,Kongo,Kongo,kon,5.6,Available,Bima bionsono biatandila ku zero,Latin
African,Sango,Sango,sg,2,Available,Aye kue akomanse na zero,Latin
African,Wolaytta,Wolaytta,wal,2,Available,Ubbabaykka hinttappe doommees,Ethiopic
African,Sidamo,Sidamo,sid,3,Available,Mittu mittu qaaleho higga shollaa,Ethiopic
Middle Eastern,العربية (Global),Arabic (Global),ar,422,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,العربية (Egyptian),Arabic (Egyptian),ar-EG,102,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,العربية (Gulf),Arabic (Gulf),ar-AE,36,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,العربية (Levantine),Arabic (Levantine),ar-LB,38,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,العربية (Moroccan),Arabic (Moroccan),ar-MA,33,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,العربية (Sudanese),Arabic (Sudanese),ar-SD,28,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,العربية (Iraqi),Arabic (Iraqi),ar-IQ,16,Available,كل شيء يبدأ من الصفر,Arabic
Middle Eastern,עברית,Hebrew,he,9,Available,הכל מתחיל מאפס,Hebrew
Middle Eastern,فارسی,Persian,fa,62,Available,همه چیز از صفر شروع می‌شود,Arabic
Middle Eastern,کوردی (Sorani),Kurdish (Sorani),ckb,8,Available,هەموو شت لە سفرەوە دەست پێدەکات,Arabic
Middle Eastern,کوردی (Kurmanji),Kurdish (Kurmanji),kmr,15,Available,Her tişt ji sifirê dest pê dike,Latin
Middle Eastern,پښتو,Pashto,ps,60,Available,ټول شیان له صفر څخه پیل کیږي,Arabic
Middle Eastern,بلوچی,Balochi,bal,8.8,Available,ہر چیز صفر کنوں شروع بیت,Arabic
Middle Eastern,دری,Dari,prs,25,Available,همه چیز از صفر آغاز می‌شود,Arabic
Middle Eastern,تاجیک,Tajik,tg,8.4,Available,Ҳама чиз аз сифр оғоз мешавад,Cyrillic
Middle Eastern,ئۇيغۇرچە,Uyghur,ug,12,Available,ھەممە ئىش نۆلدىن باشلىنىدۇ,Arabic
Middle Eastern,Қазақша,Kazakh,kk,13,Available,Барлығы нөлден басталады,Cyrillic
Middle Eastern,Кыргызча,Kyrgyz,ky,4.4,Available,Баары нөлдөн башталат,Cyrillic
Middle Eastern,O'zbek,Uzbek,uz,34,Available,Hamma narsa noldan boshlanadi,Latin
Middle Eastern,Türkçe,Turkish,tr,88,Available,Her şey sıfırdan başlar,Latin
Middle Eastern,Türkmençe,Turkmen,tk,3.4,Available,Hemme zat noldan başlaýar,Latin
Middle Eastern,Azərbaycan,Azerbaijani,az,23,Available,Hər şey sıfırdan başlayır,Latin
Middle Eastern,Հայերեն,Armenian,hy,6.7,Available,Ամեն ինչ զրոյից է սկսվում,Armenian
Middle Eastern,ქართული,Georgian,ka,3.7,Coming Soon,ყველაფერი ნულიდან იწყება,Georgian
Middle Eastern,Čečenski,Chechen,ce,1.8,Available,Массо а нулера дуьйцу,Cyrillic
South American,Español (Colombian),Spanish (Colombia),es-CO,51,Available,Todo comienza desde cero,Latin
South American,Español (Argentinian),Spanish (Argentina),es-AR,45,Available,Todo comienza desde cero,Latin
South American,Español (Chilean),Spanish (Chile),es-CL,18,Available,Todo comienza desde cero,Latin
South American,"Español (Global, Spain, etc.)",Spanish,es,558,Available,Todo comienza desde cero,Latin
South American,Português (Brazilian),Portuguese (Brazil),pt-BR,215,Available,Tudo começa do zero,Latin
South American,"Português (Global, African)",Portuguese,pt,267,Available,Tudo começa do zero,Latin
South American,Quechua (Runasimi),Quechua,qu,8.9,Available,Tukuy imapas ch'usaqmanta qallarikun,Latin
South American,Aymara,Aymara,ay,2.8,Available,Taqi kuna ch'usapatwa qalltarakiwa,Latin
South American,Guaraní,Guarani,gn,6.5,Available,Opavavéva oñepyrũ pytũguipa,Latin
South American,Haitian Creole,Haitian Creole,ht,12,Available,Tout bagay kòmanse nan zewo,Latin
South American,Jamaican Patois,Jamaican Patois,jam,3.2,Available,Evryting staat fram zero,Latin
South American,Nahuatl,Nahuatl,nah,1.7,Available,Mochi pehua ipan ahtle,Latin
South American,Maya (K'iche'),Maya (K'iche'),quc,2.3,Available,Ronojel ri ri jeqel pa maj,Latin
South American,Maya (Q'eqchi'),Maya (Q'eqchi'),kek,1.3,Available,Chixjunil naqataak sa ma'ej,Latin
North American,English US,English US,en-US,230,Available,Everything starts from Zero,Latin
North American,English Canada,English Canada,en-CA,20,Available,Everything starts from Zero,Latin
North American,"English (Global, UK, etc.)",English,en,1530,Available,Everything starts from Zero,Latin
North American,Español (Mexican),Spanish (Mexico),es-MX,132,Available,Todo comienza desde cero,Latin
North American,Französisch (Canada),French (Canada),fr-CA,7.2,Available,Tout commence à partir de zéro,Latin
North American,Haitian Creole,Haitian Creole,ht,12,Available,Tout bagay kòmanse nan zewo,Latin
North American,Jamaican Patois,Jamaican Patois,jam,3.2,Available,Evryting staat fram zero,Latin
North American,Nahuatl,Nahuatl,nah,1.7,Available,Mochi pehua ipan ahtle,Latin
North American,Maya (K'iche'),Maya (K'iche'),quc,2.3,Available,Ronojel ri ri jeqel pa maj,Latin
North American,Maya (Q'eqchi'),Maya (Q'eqchi'),kek,1.3,Available,Chixjunil naqataak sa ma'ej,Latin
North American,Guaraní,Guarani,gn,6.5,Available,Opavavéva oñepyrũ pytũguipa,Latin